DatasetID,year1,author1,DATA (B) 0.1,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C2806006,1957,R.B.Walton+,0.0032833,1.0574e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.001016,1.208e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0066313,1.3348e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.001202,1.3903e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0015896,1.517e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0027729,1.5903e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0020944,1.6696e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0033981,1.7191e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0050604,1.7349e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0092553,1.7805e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0267841,1.8906e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0348235,2.0151e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.05671,2.0787e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0501787,2.1302e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.063671,2.1965e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
C2806006,1957,R.B.Walton+,0.0974862,2.2344e+6,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
