DatasetID,year1,author1,DATA (B) 0.1,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
F0304004,1968,C.N.Davids,2.93e-9,5,5,10,4.75e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,6.83e-9,5,5,10,5.0e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,1.49e-8,5,5,10,5.25e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,3.1e-8,5,5,10,5.5e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,6.12e-8,5,5,10,5.75e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,1.16e-7,5,5,10,6.0e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,2.11e-7,5,5,10,6.25e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,3.71e-7,5,5,10,6.5e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,6.32e-7,5,5,10,6.75e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F0304004,1968,C.N.Davids,1.047e-6,5,5,10,7.0e+5,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
