DatasetID,year1,author1,DATA (B) 0.1,ERR-S (PER-CENT) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,ERR-5 (PER-CENT) 0.955,ERR-SYS (PER-CENT) 0.955,EN (EV) 1.1,EN-RSL-FW (EV) 1.922,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
F1460002,2022,P.S.Prusachenko+,0.06155,0.8,4,4,2,2.5,2,6.8,2.082e+6,7.0e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.06651,0.7,4,4,2,2.5,2,6.8,2.136e+6,6.9e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.0716,0.7,4,4,2,2.5,2,6.8,2.174e+6,6.8e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.09883,1.1,4,4,2,2.5,2,6.8,2.212e+6,6.8e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.1146,0.9,4,4,2,2.5,2,6.8,2.264e+6,6.7e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.08755,0.8,4,4,2,2.5,2,6.8,2.313e+6,6.6e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.08878,0.6,4,4,2,2.5,2,6.8,2.354e+6,6.6e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.09133,0.9,4,4,2,2.5,2,6.8,2.397e+6,6.5e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.02991,1,4,4,2,2.5,2,6.8,2.964e+6,5.8e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.06133,0.6,4,4,2,2.5,2,6.8,3.078e+6,5.6e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.07808,0.8,4,4,2,2.5,2,6.8,3.202e+6,5.5e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.15745,0.6,4,4,2,2.5,2,6.8,3.272e+6,5.4e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
F1460002,2022,P.S.Prusachenko+,0.1618,0.6,4,4,2,2.5,2,6.8,3.3e+6,5.4e+4,6013,6-C-13,A,N,8-O-16,3,4,CS,CS,1,2,"6-C-13(A,N)8-O-16,,SIG"
