EN (EV) 1.1,DATA (B) 0.1
1.000000e-5,0.000000e+0
7.800000e+5,0.000000e+0
7.931000e+5,4.048000e-6
8.546100e+5,1.262200e-5
9.161200e+5,3.654600e-5
9.407300e+5,5.467400e-5
9.653300e+5,8.062200e-5
9.899400e+5,1.170400e-4
1.002200e+6,1.402700e-4
1.014500e+6,1.679700e-4
1.026800e+6,2.031600e-4
1.039100e+6,2.659300e-4
1.040400e+6,2.778700e-4
1.041600e+6,2.926500e-4
1.042800e+6,3.115800e-4
1.044100e+6,3.369100e-4
1.045300e+6,3.726200e-4
1.046500e+6,4.262700e-4
1.047800e+6,5.137400e-4
1.049000e+6,6.727300e-4
1.050200e+6,1.010000e-3
1.051500e+6,1.912400e-3
1.052100e+6,2.999300e-3
1.052700e+6,5.162000e-3
1.052800e+6,5.781500e-3
1.052900e+6,6.459800e-3
1.053100e+6,7.178000e-3
1.053200e+6,7.902100e-3
1.053300e+6,8.579500e-3
1.053400e+6,9.142600e-3
1.053500e+6,9.521200e-3
1.053700e+6,9.660200e-3
1.053800e+6,9.538500e-3
1.053900e+6,9.176500e-3
1.054200e+6,7.963900e-3
1.054400e+6,6.540700e-3
1.054700e+6,5.253200e-3
1.054900e+6,4.215300e-3
1.055100e+6,3.417400e-3
1.055400e+6,2.812400e-3
1.055600e+6,2.352800e-3
1.055900e+6,2.000300e-3
1.056100e+6,1.726500e-3
1.056400e+6,1.510900e-3
1.056600e+6,1.338900e-3
1.056900e+6,1.200000e-3
1.057100e+6,1.086400e-3
1.057400e+6,9.924900e-4
1.057600e+6,9.141700e-4
1.058800e+6,6.672700e-4
1.060100e+6,5.446400e-4
1.061300e+6,4.761700e-4
1.062500e+6,4.349100e-4
1.063800e+6,4.087700e-4
1.066200e+6,3.804000e-4
1.068700e+6,3.681900e-4
1.071100e+6,3.638800e-4
1.073600e+6,3.639200e-4
1.076100e+6,3.665700e-4
1.082200e+6,3.793900e-4
1.088400e+6,3.967200e-4
1.094500e+6,4.162200e-4
1.100700e+6,4.369300e-4
1.106800e+6,4.583200e-4
1.113000e+6,4.800600e-4
1.119100e+6,5.019500e-4
1.125300e+6,5.238100e-4
1.131400e+6,5.455000e-4
1.137600e+6,5.669000e-4
1.143700e+6,5.879100e-4
1.149900e+6,6.084600e-4
1.156000e+6,6.284700e-4
1.162200e+6,6.478800e-4
1.168300e+6,6.666500e-4
1.174500e+6,6.847600e-4
1.176900e+6,6.918100e-4
1.179400e+6,6.987900e-4
1.181900e+6,7.056100e-4
1.184300e+6,7.122800e-4
1.186800e+6,7.189300e-4
1.189200e+6,7.254200e-4
1.191700e+6,7.318300e-4
1.194200e+6,7.380800e-4
1.196600e+6,7.442500e-4
1.199100e+6,7.503300e-4
1.201500e+6,7.562500e-4
1.204000e+6,7.620900e-4
1.206500e+6,7.678500e-4
1.208900e+6,7.735200e-4
1.211400e+6,7.790500e-4
1.217500e+6,7.924800e-4
1.223700e+6,8.054200e-4
1.229800e+6,8.177400e-4
1.236000e+6,8.295700e-4
1.248300e+6,8.519500e-4
1.260600e+6,8.729300e-4
1.272900e+6,8.928700e-4
1.285200e+6,9.124400e-4
1.297500e+6,9.327100e-4
1.309800e+6,9.580500e-4
1.322100e+6,1.027900e-3
1.328300e+6,1.324200e-3
1.329500e+6,1.607100e-3
1.330700e+6,2.417700e-3
1.331300e+6,3.554600e-3
1.331900e+6,6.731300e-3
1.332600e+6,1.999300e-2
1.333200e+6,3.908900e-2
1.333800e+6,1.185900e-2
1.334400e+6,5.492000e-3
1.335000e+6,4.086200e-3
1.335600e+6,4.528600e-3
1.336200e+6,6.243600e-3
1.336400e+6,6.427500e-3
1.336500e+6,6.429000e-3
1.336600e+6,6.240000e-3
1.336700e+6,5.896200e-3
1.336900e+6,5.459200e-3
1.337500e+6,3.426400e-3
1.338100e+6,2.401300e-3
1.338700e+6,1.912800e-3
1.339300e+6,1.649800e-3
1.339900e+6,1.491900e-3
1.340600e+6,1.389000e-3
1.346700e+6,1.108400e-3
1.352900e+6,1.067400e-3
1.359000e+6,1.058900e-3
1.365200e+6,1.060200e-3
1.371300e+6,1.065800e-3
1.377500e+6,1.073600e-3
1.383600e+6,1.082700e-3
1.395900e+6,1.104000e-3
1.408200e+6,1.128200e-3
1.420500e+6,1.154900e-3
1.432800e+6,1.184200e-3
1.445100e+6,1.216000e-3
1.457400e+6,1.250600e-3
1.469700e+6,1.288200e-3
1.482000e+6,1.329000e-3
1.494300e+6,1.373300e-3
1.506600e+6,1.421400e-3
1.518900e+6,1.473700e-3
1.531200e+6,1.530300e-3
1.543500e+6,1.591900e-3
1.555800e+6,1.659100e-3
1.568100e+6,1.734000e-3
1.580500e+6,2.177800e-3
1.592800e+6,1.896700e-3
1.605100e+6,1.986500e-3
1.617400e+6,2.086900e-3
1.629700e+6,2.196600e-3
1.642000e+6,2.316500e-3
1.654300e+6,2.447600e-3
1.666600e+6,2.591900e-3
1.678900e+6,2.751800e-3
1.691200e+6,2.932000e-3
1.703500e+6,3.143700e-3
1.709600e+6,3.270700e-3
1.715800e+6,3.424900e-3
1.721900e+6,3.630900e-3
1.728100e+6,3.930100e-3
1.729300e+6,4.002300e-3
1.730500e+6,4.076200e-3
1.731800e+6,4.149500e-3
1.733000e+6,4.218300e-3
1.734200e+6,4.278700e-3
1.735500e+6,4.326700e-3
1.736700e+6,4.359500e-3
1.737900e+6,4.376500e-3
1.739100e+6,4.379100e-3
1.740400e+6,4.370500e-3
1.742800e+6,4.334900e-3
1.745300e+6,4.296700e-3
1.747800e+6,4.270100e-3
1.750200e+6,4.259300e-3
1.752700e+6,4.263100e-3
1.758800e+6,4.321300e-3
1.765000e+6,4.424000e-3
1.771100e+6,4.553300e-3
1.777300e+6,4.700900e-3
1.789600e+6,5.037100e-3
1.801900e+6,5.420300e-3
1.814200e+6,5.849900e-3
1.826500e+6,6.328100e-3
1.838800e+6,6.858600e-3
1.851100e+6,7.447400e-3
1.863400e+6,8.100700e-3
1.875700e+6,8.825800e-3
1.888000e+6,9.631200e-3
1.900300e+6,1.052800e-2
1.924900e+6,1.265200e-2
1.949500e+6,1.536100e-2
1.974100e+6,1.897500e-2
1.998700e+6,2.418100e-2
2.023300e+6,3.247700e-2
2.047900e+6,4.490800e-2
2.072500e+6,5.427900e-2
2.097100e+6,4.909300e-2
2.121800e+6,4.059300e-2
2.146400e+6,3.766400e-2
2.158700e+6,3.892200e-2
2.171000e+6,4.251300e-2
2.183300e+6,4.906300e-2
2.195600e+6,5.895700e-2
2.207900e+6,7.115600e-2
2.220200e+6,8.201800e-2
2.226300e+6,8.544600e-2
2.232500e+6,8.707200e-2
2.238600e+6,8.693200e-2
2.244800e+6,8.535200e-2
2.250900e+6,8.278200e-2
2.257100e+6,7.966100e-2
2.263200e+6,7.633700e-2
2.269400e+6,7.307400e-2
2.281700e+6,6.725900e-2
2.294000e+6,6.280600e-2
2.306300e+6,5.981900e-2
2.318600e+6,5.831000e-2
2.330900e+6,5.833700e-2
2.343200e+6,6.006200e-2
2.355500e+6,6.372700e-2
2.367800e+6,6.944500e-2
2.380100e+6,7.684400e-2
2.392400e+6,8.479500e-2
2.398600e+6,8.793800e-2
2.404700e+6,8.928200e-2
2.410900e+6,8.792900e-2
2.417000e+6,8.374100e-2
2.418200e+6,8.261600e-2
2.419500e+6,8.141500e-2
2.420700e+6,8.014200e-2
2.421900e+6,7.881800e-2
2.423200e+6,7.744700e-2
2.424400e+6,7.603200e-2
2.425600e+6,7.459400e-2
2.426800e+6,7.313300e-2
2.428100e+6,7.166200e-2
2.429300e+6,7.018200e-2
2.435500e+6,6.294700e-2
2.441600e+6,5.632600e-2
2.447800e+6,5.057900e-2
2.453900e+6,4.572000e-2
2.460100e+6,4.167200e-2
2.466200e+6,3.831500e-2
2.478500e+6,3.320700e-2
2.490800e+6,2.962200e-2
2.503100e+6,2.704500e-2
2.515400e+6,2.516000e-2
2.527700e+6,2.379100e-2
2.540000e+6,2.288700e-2
2.552300e+6,2.258900e-2
2.564600e+6,2.366100e-2
2.570800e+6,2.560600e-2
2.576900e+6,3.017100e-2
2.583100e+6,4.126700e-2
2.589200e+6,6.340300e-2
2.591700e+6,7.091500e-2
2.594200e+6,7.222400e-2
2.596600e+6,6.716300e-2
2.599100e+6,5.921100e-2
2.601500e+6,5.144000e-2
2.604000e+6,4.505500e-2
2.607700e+6,3.813900e-2
2.613800e+6,3.139300e-2
2.620000e+6,2.779000e-2
2.626100e+6,2.571400e-2
2.632300e+6,2.448400e-2
2.638400e+6,2.381800e-2
2.644600e+6,2.366200e-2
2.650800e+6,2.421300e-2
2.656900e+6,2.633800e-2
2.663100e+6,3.422100e-2
2.664300e+6,3.789800e-2
2.665500e+6,4.319300e-2
2.666700e+6,5.100100e-2
2.668000e+6,6.260700e-2
2.669200e+6,7.920900e-2
2.670400e+6,9.920300e-2
2.671700e+6,1.128200e-1
2.672900e+6,1.076300e-1
2.674100e+6,8.840200e-2
2.675400e+6,6.883800e-2
2.676600e+6,5.440300e-2
2.677800e+6,4.468900e-2
2.679000e+6,3.821300e-2
2.680300e+6,3.380800e-2
2.681500e+6,3.072500e-2
2.682700e+6,2.850600e-2
2.684000e+6,2.686500e-2
2.685200e+6,2.562400e-2
2.686400e+6,2.466500e-2
2.687700e+6,2.391100e-2
2.693800e+6,2.182200e-2
2.700000e+6,2.098900e-2
2.706100e+6,2.065800e-2
2.712300e+6,2.061700e-2
2.718400e+6,2.081800e-2
2.724600e+6,2.130900e-2
2.730700e+6,2.226600e-2
2.736900e+6,2.416100e-2
2.743000e+6,2.844600e-2
2.749200e+6,4.096500e-2
2.750400e+6,4.606500e-2
2.751600e+6,5.280000e-2
2.752900e+6,6.159200e-2
2.754100e+6,7.260800e-2
2.755300e+6,8.511500e-2
2.756500e+6,9.612500e-2
