EN (EV) 1.1,DATA (B) 0.1
.767,0.0026
.786,0.0033
.807,0.0051
.826,0.0072
.846,0.0108
.866,0.0143
.886,0.0202
.906,0.0287
.925,0.0384
.945,0.0532
.965,0.0801
.975,0.0893
.985,0.1010
.994,0.1160
1.005,0.1520
1.016,0.1640
1.025,0.1890
1.03,0.2090
1.046,0.4610
1.05,0.8500
1.052,2.0300
1.053,4.5300
1.054,8.7700
1.055,4.5400
1.056,2.0400
1.058,0.8800
1.062,0.5560
1.078,0.4950
1.08,0.4810
1.087,0.4660
1.098,0.4830
1.112,0.4850
1.122,0.5000
1.132,0.5610
1.142,0.5980
1.152,0.6140
1.162,0.6400
1.172,0.6640
1.182,0.6810
1.192,0.7400
1.202,0.7490
1.212,0.7840
1.222,0.7950
1.232,0.7960
1.242,0.8340
1.251,0.8680
1.261,0.8690
1.271,0.8660
1.281,0.9310
1.291,0.8870
1.301,0.9410
1.303,0.9180
1.305,0.9300
1.307,0.9500
1.309,0.9580
1.311,0.9900
1.333,2.2100
1.334,4.2600
1.335,10.8000
1.336,48.2000
1.337,10.9000
1.338,4.2700
1.339,2.2200
1.365,1.1400
1.377,1.1300
1.389,1.1200
1.4,1.0900
1.41,1.1100
1.42,1.1600
1.431,1.2100
1.441,1.1900
1.45,1.2200
1.461,1.2900
1.471,1.2900
1.48,1.3100
1.49,1.3100
1.5,1.3700
1.51,1.4200
1.52,1.4400
1.53,1.5700
1.541,1.6700
1.55,1.6200
1.56,1.7500
1.585,2.9000
1.587,3.2000
1.588,4.3000
1.589,6.2500
1.59,10.5000
1.591,6.2600
1.592,4.3300
1.593,3.3200
1.595,3.0200
1.609,2.1200
1.619,2.1700
1.629,2.2300
1.639,2.2900
1.649,2.3800
1.66,2.4500
1.67,2.7500
1.68,2.8500
1.69,2.9500
1.699,3.2400
1.709,3.3400
1.719,3.7300
1.73,4.1100
1.74,4.3000
1.749,4.3700
1.759,4.4200
1.769,4.8100
1.779,4.9800
1.789,5.2600
1.799,5.4800
1.808,5.6600
1.818,5.9800
1.828,6.4200
1.839,7.3300
1.849,7.8700
1.859,8.3300
1.869,8.7700
1.879,9.5000
1.889,10.1000
1.899,10.7000
1.909,11.4000
1.918,12.3000
1.928,13.7000
1.938,14.8000
1.948,15.8000
1.958,17.3000
1.968,18.8000
1.978,20.5000
1.988,22.6000
1.998,24.6000
2.009,28.0000
2.019,30.6000
2.028,33.6000
2.038,37.0000
2.048,40.3000
2.057,43.1000
2.067,44.2000
2.077,44.5000
2.087,48.5000
2.097,45.2000
2.106,41.2000
2.116,39.5000
2.126,38.2000
2.136,37.4000
2.146,37.5000
2.156,39.8000
2.167,42.8000
2.177,47.0000
2.187,53.0000
2.197,59.9000
2.207,66.4000
2.217,75.2000
2.227,75.3000
2.236,74.1000
2.245,73.3000
2.255,67.7000
2.265,66.2000
2.275,59.1000
2.285,56.0000
2.295,55.1000
2.305,53.8000
2.315,53.7000
2.325,52.9000
2.335,54.3000
2.346,56.5000
2.355,59.0000
2.365,63.3000
2.375,66.4000
2.385,67.5000
2.395,66.1000
2.405,65.3000
2.414,59.8000
2.424,53.3000
2.434,45.6000
2.444,38.6000
2.454,34.5000
2.464,32.3000
2.473,28.6000
2.483,26.2000
2.493,24.7000
2.503,23.1000
2.513,21.7000
2.524,21.0000
2.534,20.5000
2.544,20.7000
2.554,21.1000
2.565,24.7000
2.576,38.3000
2.586,51.1000
2.595,46.2000
2.602,32.1000
2.611,24.9000
2.621,21.5000
2.632,20.4000
2.643,22.7000
2.657,51.8000
2.666,52.6000
2.673,39.6000
2.681,24.1000
2.69,21.1000
2.701,19.7000
2.712,19.6000
2.723,21.5000
2.735,35.5000
2.745,47.5000
2.754,41.9000
2.762,31.2000
2.772,45.9000
2.787,108.0000
2.792,115.0000
2.796,108.0000
2.801,60.1000
2.808,30.0000
2.818,22.6000
2.83,19.7000
2.841,18.0000
2.851,17.1000
2.862,16.7000
2.872,16.5000
2.882,16.5000
2.892,17.0000
2.902,17.0000
2.911,17.3000
2.921,17.6000
2.931,18.1000
2.941,18.7000
2.951,19.8000
2.962,21.1000
2.972,22.1000
2.982,24.4000
2.992,27.6000
3.002,31.9000
3.012,37.3000
3.021,41.6000
3.031,45.8000
3.041,47.6000
3.051,46.1000
3.06,43.8000
3.07,41.2000
3.08,38.8000
3.09,37.4000
3.1,37.3000
3.111,36.9000
3.121,37.0000
3.13,37.9000
3.14,39.2000
3.15,40.4000
3.16,42.3000
3.17,44.4000
3.18,47.2000
3.19,52.4000
3.2,56.9000
3.21,61.2000
3.22,67.0000
3.23,72.1000
3.239,78.2000
3.249,85.8000
3.259,91.9000
3.269,99.0000
3.279,104.0000
3.289,110.0000
3.299,116.0000
3.309,107.0000
3.319,103.0000
3.329,93.4000
3.338,84.1000
3.348,79.7000
3.358,69.9000
3.368,68.9000
3.378,68.8000
3.388,76.4000
3.399,88.6000
3.409,85.6000
3.418,68.8000
3.427,48.0000
3.436,34.7000
3.446,25.7000
3.457,20.7000
3.466,17.1000
3.476,14.2000
3.486,12.2000
3.497,10.6000
3.507,9.1800
3.517,7.9800
3.527,7.0900
3.537,6.3600
3.547,5.8000
3.557,5.2100
3.567,4.7100
3.576,4.1000
3.586,3.6000
3.596,3.1900
3.606,2.8900
3.618,4.5500
3.63,10.2000
3.638,9.3400
3.645,5.8500
3.655,4.6300
3.666,4.3100
3.677,4.9700
3.691,19.1000
3.699,33.3000
3.706,19.4000
3.713,7.4400
