DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1,EN-ERR (PER-CENT) 1.911
1.63e-4,3.0e-5,9.973e+5,0.15
1.98e-4,3.1e-5,1.0033e+6,0.15
2.28e-4,3.4e-5,1.0163e+6,0.15
3.52e-4,4.2e-5,1.0303e+6,0.15
4.61e-4,4.3e-5,1.0433e+6,0.15
4.49e-4,4.2e-5,1.0443e+6,0.15
5.78e-4,4.6e-5,1.0443e+6,0.15
4.57e-4,4.2e-5,1.0453e+6,0.15
5.17e-4,4.5e-5,1.0463e+6,0.15
6.44e-4,4.8e-5,1.0473e+6,0.15
6.38e-4,4.7e-5,1.0473e+6,0.15
6.87e-4,4.9e-5,1.0483e+6,0.15
7.63e-4,5.1e-5,1.0493e+6,0.15
9.3e-4,5.6e-5,1.0493e+6,0.15
0.001283,6.5e-5,1.0503e+6,0.15
0.001512,6.9e-5,1.0513e+6,0.15
0.002248,8.4e-5,1.0513e+6,0.15
0.003475,1.03e-4,1.0523e+6,0.15
0.005042,1.24e-4,1.0533e+6,0.15
0.005848,1.33e-4,1.0533e+6,0.15
0.006569,1.4e-4,1.0543e+6,0.15
0.00653,1.4e-4,1.0553e+6,0.15
0.005968,1.34e-4,1.0553e+6,0.15
0.005303,1.27e-4,1.0563e+6,0.15
0.004143,1.12e-4,1.0573e+6,0.15
0.003099,9.8e-5,1.0573e+6,0.15
0.002433,8.7e-5,1.0583e+6,0.15
0.001802,7.5e-5,1.0593e+6,0.15
0.001492,6.9e-5,1.0593e+6,0.15
0.001085,6.0e-5,1.0603e+6,0.15
9.91e-4,5.8e-5,1.0613e+6,0.15
9.22e-4,5.6e-5,1.0613e+6,0.15
8.68e-4,5.5e-5,1.0623e+6,0.15
8.15e-4,5.5e-5,1.0633e+6,0.15
6.91e-4,5.3e-5,1.0633e+6,0.15
5.87e-4,4.6e-5,1.0674e+6,0.15
6.58e-4,4.8e-5,1.0704e+6,0.15
5.82e-4,4.6e-5,1.0744e+6,0.15
4.87e-4,4.4e-5,1.0774e+6,0.15
6.48e-4,4.9e-5,1.0814e+6,0.15
6.25e-4,4.7e-5,1.0844e+6,0.15
6.33e-4,4.8e-5,1.0874e+6,0.15
6.8e-4,4.9e-5,1.0914e+6,0.15
5.74e-4,4.6e-5,1.0944e+6,0.15
7.26e-4,5.0e-5,1.0984e+6,0.15
6.39e-4,4.8e-5,1.1014e+6,0.15
7.15e-4,5.0e-5,1.1054e+6,0.15
7.17e-4,5.0e-5,1.1084e+6,0.15
6.77e-4,4.8e-5,1.1124e+6,0.15
6.62e-4,4.7e-5,1.1154e+6,0.15
7.88e-4,5.1e-5,1.1194e+6,0.15
7.43e-4,5.0e-5,1.1224e+6,0.15
8.38e-4,5.2e-5,1.1254e+6,0.15
7.93e-4,5.1e-5,1.1294e+6,0.15
8.25e-4,5.4e-5,1.1324e+6,0.15
7.94e-4,5.2e-5,1.1364e+6,0.15
8.48e-4,5.5e-5,1.1394e+6,0.15
0.001094,6.1e-5,1.1434e+6,0.15
9.46e-4,5.6e-5,1.1494e+6,0.15
0.001156,6.1e-5,1.1504e+6,0.15
8.45e-4,5.2e-5,1.1534e+6,0.15
9.99e-4,5.7e-5,1.1574e+6,0.15
0.001022,5.8e-5,1.1614e+6,0.15
9.89e-4,5.7e-5,1.1644e+6,0.15
0.00102,5.8e-5,1.1684e+6,0.15
9.91e-4,5.8e-5,1.1714e+6,0.15
9.93e-4,5.8e-5,1.1754e+6,0.15
0.001043,5.9e-5,1.1784e+6,0.15
0.001025,5.8e-5,1.1824e+6,0.15
0.001004,5.8e-5,1.1864e+6,0.15
0.001061,6.0e-5,1.1894e+6,0.15
0.001099,6.0e-5,1.1934e+6,0.15
0.001102,6.0e-5,1.1964e+6,0.15
0.001041,5.9e-5,1.2004e+6,0.15
0.001113,6.1e-5,1.2034e+6,0.15
0.001087,6.0e-5,1.2074e+6,0.15
0.001249,6.4e-5,1.2115e+6,0.15
0.001202,6.3e-5,1.2145e+6,0.15
0.001134,6.1e-5,1.2185e+6,0.15
0.001204,6.3e-5,1.2225e+6,0.15
0.00113,6.1e-5,1.2255e+6,0.15
0.001053,5.9e-5,1.2295e+6,0.15
0.001219,6.3e-5,1.2325e+6,0.15
0.001108,6.1e-5,1.2365e+6,0.15
0.001357,6.6e-5,1.2405e+6,0.15
0.001156,6.2e-5,1.2435e+6,0.15
0.001305,6.5e-5,1.2475e+6,0.15
0.001273,6.4e-5,1.2515e+6,0.15
0.001255,6.3e-5,1.2545e+6,0.15
0.00126,6.3e-5,1.2585e+6,0.15
0.001142,6.0e-5,1.2625e+6,0.15
0.001375,6.6e-5,1.2655e+6,0.15
0.001279,6.3e-5,1.2695e+6,0.15
0.001279,6.3e-5,1.2735e+6,0.15
0.001214,6.2e-5,1.2775e+6,0.15
0.001254,6.3e-5,1.2805e+6,0.15
0.001308,6.4e-5,1.2845e+6,0.15
0.001412,6.7e-5,1.2885e+6,0.15
0.001351,6.6e-5,1.2915e+6,0.15
0.001308,6.5e-5,1.2955e+6,0.15
0.001564,7.0e-5,1.2995e+6,0.15
0.001422,6.7e-5,1.3035e+6,0.15
0.001328,6.6e-5,1.3065e+6,0.15
0.001361,6.6e-5,1.3105e+6,0.15
0.001442,6.8e-5,1.3145e+6,0.15
0.00158,7.0e-5,1.3185e+6,0.15
0.001325,6.5e-5,1.3225e+6,0.15
0.001595,7.0e-5,1.3255e+6,0.15
0.001881,7.7e-5,1.3295e+6,0.15
0.00846,1.6e-4,1.3335e+6,0.15
0.01506,2.12e-4,1.3355e+6,0.15
0.01326,1.99e-4,1.3375e+6,0.15
0.009711,1.7e-4,1.3385e+6,0.15
0.006104,1.36e-4,1.3405e+6,0.15
0.003499,1.03e-4,1.3425e+6,0.15
0.002416,8.6e-5,1.3445e+6,0.15
0.001997,7.9e-5,1.3465e+6,0.15
0.001981,7.9e-5,1.3485e+6,0.15
0.001707,7.3e-5,1.3526e+6,0.15
0.001622,7.1e-5,1.3566e+6,0.15
0.001696,7.3e-5,1.3596e+6,0.15
0.001615,7.1e-5,1.3636e+6,0.15
0.001557,7.0e-5,1.3676e+6,0.15
0.001677,7.3e-5,1.3716e+6,0.15
0.001573,7.0e-5,1.3756e+6,0.15
0.001621,7.1e-5,1.3796e+6,0.15
0.001562,7.0e-5,1.3826e+6,0.15
0.001611,7.0e-5,1.3866e+6,0.15
0.001734,7.4e-5,1.3906e+6,0.15
0.001628,7.1e-5,1.3946e+6,0.15
0.001554,6.9e-5,1.3986e+6,0.15
0.001359,6.5e-5,1.4026e+6,0.15
0.001669,7.3e-5,1.4066e+6,0.15
0.001722,7.4e-5,1.4106e+6,0.15
0.001713,7.4e-5,1.4136e+6,0.15
0.00167,7.3e-5,1.4176e+6,0.15
0.001714,7.4e-5,1.4216e+6,0.15
0.001591,7.0e-5,1.4256e+6,0.15
0.001686,7.3e-5,1.4296e+6,0.15
0.001812,7.6e-5,1.4336e+6,0.15
0.001642,7.1e-5,1.4376e+6,0.15
0.001702,7.4e-5,1.4416e+6,0.15
0.001788,7.6e-5,1.4456e+6,0.15
0.001752,7.5e-5,1.4496e+6,0.15
0.001746,7.5e-5,1.4536e+6,0.15
0.001806,7.6e-5,1.4576e+6,0.15
0.00187,7.7e-5,1.4616e+6,0.15
0.001833,7.6e-5,1.4656e+6,0.15
0.001774,7.5e-5,1.4686e+6,0.15
0.001954,7.8e-5,1.4726e+6,0.15
0.001985,7.8e-5,1.4766e+6,0.15
0.001862,7.6e-5,1.4806e+6,0.15
0.002063,8.0e-5,1.4866e+6,0.15
0.001872,7.7e-5,1.4886e+6,0.15
0.001944,7.8e-5,1.4927e+6,0.15
0.001944,7.8e-5,1.4967e+6,0.15
0.002133,8.2e-5,1.5027e+6,0.15
0.002166,8.2e-5,1.5247e+6,0.15
0.002154,8.2e-5,1.5287e+6,0.15
0.002103,8.1e-5,1.5327e+6,0.15
0.002421,8.6e-5,1.5367e+6,0.15
0.00233,8.5e-5,1.5407e+6,0.15
