DATA (B) 0.1,DATA-ERR (B) 0.911,EN (EV) 1.1
0.0096,9.6e-4,1.061e+6

0.00622,6.2e-4,4.234e+6
0.06704,0.0067,4.415e+6
0.03189,0.00319,4.748e+6
0.03303,0.0033,4.807e+6
0.03107,0.00311,4.838e+6
0.02701,0.0027,4.866e+6
0.11848,0.01185,4.996e+6
0.05076,0.00508,5.357e+6
0.07934,0.00793,5.453e+6
0.07449,0.00745,5.483e+6
0.08744,0.00874,5.493e+6
0.04496,0.0045,5.634e+6
0.0427,0.00427,5.689e+6
0.05238,0.00524,5.785e+6
0.05787,0.00579,5.796e+6
0.05626,0.00563,5.855e+6
0.07979,0.00798,5.904e+6
0.14709,0.01471,5.976e+6
0.11132,0.01113,5.977e+6
0.05999,0.006,6.128e+6
