bin_center,sigma,d_sigma
301000.0,0.0,0.0
303000.0,0.0,0.0
305000.0,0.0,0.0
307000.0,0.0,0.0
309000.0,0.0,0.0
311000.0,0.0,0.0
313000.0,0.0,0.0
315000.0,3.8200000000000005e-09,6.639999999999999e-10
317000.0,0.0,0.0
319000.0,0.0,0.0
321000.0,0.0,0.0
323000.0,0.0,0.0
325000.0,0.0,0.0
327000.0,0.0,0.0
329000.0,0.0,0.0
331000.0,0.0,0.0
333000.0,0.0,0.0
335000.0,0.0,0.0
337000.0,0.0,0.0
339000.0,0.0,0.0
341000.0,0.0,0.0
343000.0,0.0,0.0
345000.0,1.922e-08,1.9320000000000004e-09
347000.0,0.0,0.0
349000.0,0.0,0.0
351000.0,0.0,0.0
353000.0,0.0,0.0
355000.0,0.0,0.0
357000.0,0.0,0.0
359000.0,0.0,0.0
361000.0,0.0,0.0
363000.0,0.0,0.0
365000.0,1.2199999999999998e-07,7.4e-08
367000.0,0.0,0.0
369000.0,6.719999999999999e-08,7.0199999999999985e-09
371000.0,0.0,0.0
373000.0,0.0,0.0
375000.0,0.0,0.0
377000.0,0.0,0.0
379000.0,0.0,0.0
381000.0,0.0,0.0
383000.0,0.0,0.0
385000.0,0.0,0.0
387000.0,0.0,0.0
389000.0,1.78679706601467e-07,2.3734472468839136e-08
391000.0,0.0,0.0
393000.0,3.4e-07,1.6000000000000003e-07
395000.0,0.0,0.0
397000.0,0.0,0.0
399000.0,3.8e-07,1.86e-07
401000.0,0.0,0.0
403000.0,4.4e-07,2e-07
405000.0,0.0,0.0
407000.0,0.0,0.0
409000.0,6.599999999999999e-07,2.2000000000000004e-07
411000.0,0.0,0.0
413000.0,0.0,0.0
415000.0,7.2e-07,2.4e-07
417000.0,0.0,0.0
419000.0,7.799999999999999e-07,2.7999999999999997e-07
421000.0,0.0,0.0
423000.0,0.0,0.0
425000.0,0.0,0.0
427000.0,0.0,0.0
429000.0,9.8e-07,2.7999999999999997e-07
431000.0,0.0,0.0
433000.0,0.0,0.0
435000.0,0.0,0.0
437000.0,1.4399999999999998e-06,4e-07
439000.0,0.0,0.0
441000.0,0.0,0.0
443000.0,0.0,0.0
445000.0,0.0,0.0
447000.0,2.1999999999999997e-06,4.400000000000001e-07
449000.0,1.53646e-06,1.34828e-07
451000.0,0.0,0.0
453000.0,0.0,0.0
455000.0,2.48e-06,1.6000000000000003e-07
457000.0,3.2000000000000003e-06,7.6e-07
459000.0,0.0,0.0
461000.0,0.0,0.0
463000.0,0.0,0.0
465000.0,0.0,0.0
467000.0,4.399999999999999e-06,8.799999999999999e-07
469000.0,0.0,0.0
471000.0,0.0,0.0
473000.0,0.0,0.0
475000.0,5.859999999999999e-06,7.177004946354711e-07
477000.0,6e-06,1.2e-06
479000.0,0.0,0.0
481000.0,0.0,0.0
483000.0,8.04e-06,3e-07
485000.0,0.0,0.0
487000.0,8.200000000000001e-06,1.54e-06
489000.0,0.0,0.0
491000.0,0.0,0.0
493000.0,0.0,0.0
495000.0,0.0,0.0
497000.0,1.1e-05,1.88e-06
499000.0,9.084e-06,3.7158e-07
501000.0,1.3659999999999998e-05,1.6730014943209103e-06
503000.0,0.0,0.0
505000.0,0.0,0.0
507000.0,1.5399999999999998e-05,2.6e-06
509000.0,0.0,0.0
511000.0,0.0,0.0
513000.0,1.902e-05,6.579999999999999e-07
515000.0,0.0,0.0
517000.0,0.0,0.0
519000.0,0.0,0.0
521000.0,0.0,0.0
523000.0,0.0,0.0
525000.0,2.9800000000000006e-05,3.649739716746936e-06
527000.0,2.8000000000000003e-05,3.7999999999999996e-06
529000.0,3.18e-05,1.094e-06
531000.0,0.0,0.0
533000.0,0.0,0.0
535000.0,0.0,0.0
537000.0,0.0,0.0
539000.0,0.0,0.0
541000.0,0.0,0.0
543000.0,4.6e-05,1.608e-06
545000.0,0.0,0.0
547000.0,4.8e-05,5.7999999999999995e-06
